Permission,Role,Role Type
analyticshub.dataExchanges.create,Editor (roles/editor),Basics Role
analyticshub.dataExchanges.create,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.dataExchanges.delete,Owner (roles/owner),Basics Role
analyticshub.dataExchanges.delete,Editor (roles/editor),Basics Role
analyticshub.dataExchanges.delete,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.dataExchanges.get,Owner (roles/owner),Basics Role
analyticshub.dataExchanges.get,Editor (roles/editor),Basics Role
analyticshub.dataExchanges.get,Viewer (roles/viewer),Basics Role
analyticshub.dataExchanges.get,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.dataExchanges.get,Analytics Hub Listing Admin (roles/analyticshub.listingAdmin),Predefined Role
analyticshub.dataExchanges.get,Analytics Hub Publisher (roles/analyticshub.publisher),Predefined Role
analyticshub.dataExchanges.get,Analytics Hub Subscriber (roles/analyticshub.subscriber),Predefined Role
analyticshub.dataExchanges.get,Analytics Hub Viewer (roles/analyticshub.viewer),Predefined Role
analyticshub.dataExchanges.getIamPolicy,Owner (roles/owner),Basics Role
analyticshub.dataExchanges.getIamPolicy,Editor (roles/editor),Basics Role
analyticshub.dataExchanges.getIamPolicy,Viewer (roles/viewer),Basics Role
analyticshub.dataExchanges.getIamPolicy,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.dataExchanges.getIamPolicy,Analytics Hub Listing Admin (roles/analyticshub.listingAdmin),Predefined Role
analyticshub.dataExchanges.getIamPolicy,Analytics Hub Publisher (roles/analyticshub.publisher),Predefined Role
analyticshub.dataExchanges.getIamPolicy,Analytics Hub Subscriber (roles/analyticshub.subscriber),Predefined Role
analyticshub.dataExchanges.getIamPolicy,Analytics Hub Viewer (roles/analyticshub.viewer),Predefined Role
analyticshub.dataExchanges.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
analyticshub.dataExchanges.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
analyticshub.dataExchanges.list,Owner (roles/owner),Basics Role
analyticshub.dataExchanges.list,Editor (roles/editor),Basics Role
analyticshub.dataExchanges.list,Viewer (roles/viewer),Basics Role
analyticshub.dataExchanges.list,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.dataExchanges.list,Analytics Hub Listing Admin (roles/analyticshub.listingAdmin),Predefined Role
analyticshub.dataExchanges.list,Analytics Hub Publisher (roles/analyticshub.publisher),Predefined Role
analyticshub.dataExchanges.list,Analytics Hub Subscriber (roles/analyticshub.subscriber),Predefined Role
analyticshub.dataExchanges.list,Analytics Hub Viewer (roles/analyticshub.viewer),Predefined Role
analyticshub.dataExchanges.list,Security Admin (roles/iam.securityAdmin),Predefined Role
analyticshub.dataExchanges.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
analyticshub.dataExchanges.setIamPolicy,Owner (roles/owner),Basics Role
analyticshub.dataExchanges.setIamPolicy,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.dataExchanges.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
analyticshub.dataExchanges.update,Owner (roles/owner),Basics Role
analyticshub.dataExchanges.update,Editor (roles/editor),Basics Role
analyticshub.dataExchanges.update,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.listings.create,Owner (roles/owner),Basics Role
analyticshub.listings.create,Editor (roles/editor),Basics Role
analyticshub.listings.create,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.listings.create,Analytics Hub Publisher (roles/analyticshub.publisher),Predefined Role
analyticshub.listings.delete,Owner (roles/owner),Basics Role
analyticshub.listings.delete,Editor (roles/editor),Basics Role
analyticshub.listings.delete,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.listings.delete,Analytics Hub Listing Admin (roles/analyticshub.listingAdmin),Predefined Role
analyticshub.listings.get,Owner (roles/owner),Basics Role
analyticshub.listings.get,Editor (roles/editor),Basics Role
analyticshub.listings.get,Viewer (roles/viewer),Basics Role
analyticshub.listings.get,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.listings.get,Analytics Hub Listing Admin (roles/analyticshub.listingAdmin),Predefined Role
analyticshub.listings.get,Analytics Hub Publisher (roles/analyticshub.publisher),Predefined Role
analyticshub.listings.get,Analytics Hub Subscriber (roles/analyticshub.subscriber),Predefined Role
analyticshub.listings.get,Analytics Hub Viewer (roles/analyticshub.viewer),Predefined Role
analyticshub.listings.getIamPolicy,Owner (roles/owner),Basics Role
analyticshub.listings.getIamPolicy,Editor (roles/editor),Basics Role
analyticshub.listings.getIamPolicy,Viewer (roles/viewer),Basics Role
analyticshub.listings.getIamPolicy,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.listings.getIamPolicy,Analytics Hub Listing Admin (roles/analyticshub.listingAdmin),Predefined Role
analyticshub.listings.getIamPolicy,Analytics Hub Publisher (roles/analyticshub.publisher),Predefined Role
analyticshub.listings.getIamPolicy,Analytics Hub Subscriber (roles/analyticshub.subscriber),Predefined Role
analyticshub.listings.getIamPolicy,Analytics Hub Viewer (roles/analyticshub.viewer),Predefined Role
analyticshub.listings.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
analyticshub.listings.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
analyticshub.listings.list,Owner (roles/owner),Basics Role
analyticshub.listings.list,Editor (roles/editor),Basics Role
analyticshub.listings.list,Viewer (roles/viewer),Basics Role
analyticshub.listings.list,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.listings.list,Analytics Hub Listing Admin (roles/analyticshub.listingAdmin),Predefined Role
analyticshub.listings.list,Analytics Hub Publisher (roles/analyticshub.publisher),Predefined Role
analyticshub.listings.list,Analytics Hub Subscriber (roles/analyticshub.subscriber),Predefined Role
analyticshub.listings.list,Analytics Hub Viewer (roles/analyticshub.viewer),Predefined Role
analyticshub.listings.list,Security Admin (roles/iam.securityAdmin),Predefined Role
analyticshub.listings.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
analyticshub.listings.setIamPolicy,Owner (roles/owner),Basics Role
analyticshub.listings.setIamPolicy,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.listings.setIamPolicy,Analytics Hub Listing Admin (roles/analyticshub.listingAdmin),Predefined Role
analyticshub.listings.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
analyticshub.listings.subscribe,Owner (roles/owner),Basics Role
analyticshub.listings.subscribe,Analytics Hub Subscriber (roles/analyticshub.subscriber),Predefined Role
analyticshub.listings.update,Owner (roles/owner),Basics Role
analyticshub.listings.update,Editor (roles/editor),Basics Role
analyticshub.listings.update,Analytics Hub Admin (roles/analyticshub.admin),Predefined Role
analyticshub.listings.update,Analytics Hub Listing Admin (roles/analyticshub.listingAdmin),Predefined Role
androidmanagement.enterprises.manage,Owner (roles/owner),Basics Role
androidmanagement.enterprises.manage,Editor (roles/editor),Basics Role
androidmanagement.enterprises.manage,Android Management User (roles/androidmanagement.user),Predefined Role
apigateway.apiconfigs.create,Owner (roles/owner),Basics Role
apigateway.apiconfigs.create,Editor (roles/editor),Basics Role
apigateway.apiconfigs.create,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apiconfigs.delete,Owner (roles/owner),Basics Role
apigateway.apiconfigs.delete,Editor (roles/editor),Basics Role
apigateway.apiconfigs.delete,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apiconfigs.get,Owner (roles/owner),Basics Role
apigateway.apiconfigs.get,Editor (roles/editor),Basics Role
apigateway.apiconfigs.get,Viewer (roles/viewer),Basics Role
apigateway.apiconfigs.get,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apiconfigs.get,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.apiconfigs.getIamPolicy,Owner (roles/owner),Basics Role
apigateway.apiconfigs.getIamPolicy,Editor (roles/editor),Basics Role
apigateway.apiconfigs.getIamPolicy,Viewer (roles/viewer),Basics Role
apigateway.apiconfigs.getIamPolicy,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apiconfigs.getIamPolicy,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.apiconfigs.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.apiconfigs.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigateway.apiconfigs.list,Owner (roles/owner),Basics Role
apigateway.apiconfigs.list,Editor (roles/editor),Basics Role
apigateway.apiconfigs.list,Viewer (roles/viewer),Basics Role
apigateway.apiconfigs.list,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apiconfigs.list,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.apiconfigs.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.apiconfigs.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigateway.apiconfigs.setIamPolicy,Owner (roles/owner),Basics Role
apigateway.apiconfigs.setIamPolicy,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apiconfigs.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.apiconfigs.update,Owner (roles/owner),Basics Role
apigateway.apiconfigs.update,Editor (roles/editor),Basics Role
apigateway.apiconfigs.update,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apis.create,Owner (roles/owner),Basics Role
apigateway.apis.create,Editor (roles/editor),Basics Role
apigateway.apis.create,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apis.delete,Owner (roles/owner),Basics Role
apigateway.apis.delete,Editor (roles/editor),Basics Role
apigateway.apis.delete,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apis.get,Owner (roles/owner),Basics Role
apigateway.apis.get,Editor (roles/editor),Basics Role
apigateway.apis.get,Viewer (roles/viewer),Basics Role
apigateway.apis.get,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apis.get,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.apis.getIamPolicy,Owner (roles/owner),Basics Role
apigateway.apis.getIamPolicy,Editor (roles/editor),Basics Role
apigateway.apis.getIamPolicy,Viewer (roles/viewer),Basics Role
apigateway.apis.getIamPolicy,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apis.getIamPolicy,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.apis.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.apis.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigateway.apis.list,Owner (roles/owner),Basics Role
apigateway.apis.list,Editor (roles/editor),Basics Role
apigateway.apis.list,Viewer (roles/viewer),Basics Role
apigateway.apis.list,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apis.list,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.apis.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.apis.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigateway.apis.setIamPolicy,Owner (roles/owner),Basics Role
apigateway.apis.setIamPolicy,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.apis.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.apis.update,Owner (roles/owner),Basics Role
apigateway.apis.update,Editor (roles/editor),Basics Role
apigateway.apis.update,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.gateways.create,Owner (roles/owner),Basics Role
apigateway.gateways.create,Editor (roles/editor),Basics Role
apigateway.gateways.create,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.gateways.delete,Owner (roles/owner),Basics Role
apigateway.gateways.delete,Editor (roles/editor),Basics Role
apigateway.gateways.delete,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.gateways.get,Owner (roles/owner),Basics Role
apigateway.gateways.get,Editor (roles/editor),Basics Role
apigateway.gateways.get,Viewer (roles/viewer),Basics Role
apigateway.gateways.get,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.gateways.get,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.gateways.getIamPolicy,Owner (roles/owner),Basics Role
apigateway.gateways.getIamPolicy,Editor (roles/editor),Basics Role
apigateway.gateways.getIamPolicy,Viewer (roles/viewer),Basics Role
apigateway.gateways.getIamPolicy,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.gateways.getIamPolicy,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.gateways.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.gateways.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigateway.gateways.list,Owner (roles/owner),Basics Role
apigateway.gateways.list,Editor (roles/editor),Basics Role
apigateway.gateways.list,Viewer (roles/viewer),Basics Role
apigateway.gateways.list,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.gateways.list,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.gateways.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.gateways.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigateway.gateways.setIamPolicy,Owner (roles/owner),Basics Role
apigateway.gateways.setIamPolicy,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.gateways.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.gateways.update,Owner (roles/owner),Basics Role
apigateway.gateways.update,Editor (roles/editor),Basics Role
apigateway.gateways.update,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.locations.get,Owner (roles/owner),Basics Role
apigateway.locations.get,Editor (roles/editor),Basics Role
apigateway.locations.get,Viewer (roles/viewer),Basics Role
apigateway.locations.get,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.locations.get,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.locations.list,Owner (roles/owner),Basics Role
apigateway.locations.list,Editor (roles/editor),Basics Role
apigateway.locations.list,Viewer (roles/viewer),Basics Role
apigateway.locations.list,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.locations.list,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.locations.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.locations.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigateway.operations.cancel,Owner (roles/owner),Basics Role
apigateway.operations.cancel,Editor (roles/editor),Basics Role
apigateway.operations.cancel,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.operations.delete,Owner (roles/owner),Basics Role
apigateway.operations.delete,Editor (roles/editor),Basics Role
apigateway.operations.delete,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.operations.get,Owner (roles/owner),Basics Role
apigateway.operations.get,Editor (roles/editor),Basics Role
apigateway.operations.get,Viewer (roles/viewer),Basics Role
apigateway.operations.get,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.operations.get,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.operations.list,Owner (roles/owner),Basics Role
apigateway.operations.list,Editor (roles/editor),Basics Role
apigateway.operations.list,Viewer (roles/viewer),Basics Role
apigateway.operations.list,ApiGateway Admin (roles/apigateway.admin),Predefined Role
apigateway.operations.list,ApiGateway Viewer (roles/apigateway.viewer),Predefined Role
apigateway.operations.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigateway.operations.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.apiproductattributes.createOrUpdateAll,Owner (roles/owner),Basics Role
apigee.apiproductattributes.createOrUpdateAll,Editor (roles/editor),Basics Role
apigee.apiproductattributes.createOrUpdateAll,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproductattributes.createOrUpdateAll,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.apiproductattributes.delete,Owner (roles/owner),Basics Role
apigee.apiproductattributes.delete,Editor (roles/editor),Basics Role
apigee.apiproductattributes.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproductattributes.delete,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.apiproductattributes.get,Owner (roles/owner),Basics Role
apigee.apiproductattributes.get,Editor (roles/editor),Basics Role
apigee.apiproductattributes.get,Viewer (roles/viewer),Basics Role
apigee.apiproductattributes.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproductattributes.get,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.apiproductattributes.get,Apigee API Reader (roles/apigee.apiReaderV2),Predefined Role
apigee.apiproductattributes.get,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.apiproductattributes.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.apiproductattributes.list,Owner (roles/owner),Basics Role
apigee.apiproductattributes.list,Editor (roles/editor),Basics Role
apigee.apiproductattributes.list,Viewer (roles/viewer),Basics Role
apigee.apiproductattributes.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproductattributes.list,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.apiproductattributes.list,Apigee API Reader (roles/apigee.apiReaderV2),Predefined Role
apigee.apiproductattributes.list,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.apiproductattributes.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.apiproductattributes.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.apiproductattributes.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.apiproductattributes.update,Owner (roles/owner),Basics Role
apigee.apiproductattributes.update,Editor (roles/editor),Basics Role
apigee.apiproductattributes.update,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproductattributes.update,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.apiproducts.create,Owner (roles/owner),Basics Role
apigee.apiproducts.create,Editor (roles/editor),Basics Role
apigee.apiproducts.create,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproducts.create,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.apiproducts.delete,Owner (roles/owner),Basics Role
apigee.apiproducts.delete,Editor (roles/editor),Basics Role
apigee.apiproducts.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproducts.delete,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.apiproducts.get,Owner (roles/owner),Basics Role
apigee.apiproducts.get,Editor (roles/editor),Basics Role
apigee.apiproducts.get,Viewer (roles/viewer),Basics Role
apigee.apiproducts.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproducts.get,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.apiproducts.get,Apigee API Reader (roles/apigee.apiReaderV2),Predefined Role
apigee.apiproducts.get,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.apiproducts.get,Apigee Monetization Admin (roles/apigee.monetizationAdmin),Predefined Role
apigee.apiproducts.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.apiproducts.get,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.apiproducts.list,Owner (roles/owner),Basics Role
apigee.apiproducts.list,Editor (roles/editor),Basics Role
apigee.apiproducts.list,Viewer (roles/viewer),Basics Role
apigee.apiproducts.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproducts.list,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.apiproducts.list,Apigee API Reader (roles/apigee.apiReaderV2),Predefined Role
apigee.apiproducts.list,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.apiproducts.list,Apigee Monetization Admin (roles/apigee.monetizationAdmin),Predefined Role
apigee.apiproducts.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.apiproducts.list,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.apiproducts.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.apiproducts.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.apiproducts.update,Owner (roles/owner),Basics Role
apigee.apiproducts.update,Editor (roles/editor),Basics Role
apigee.apiproducts.update,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apiproducts.update,Apigee API Admin (roles/apigee.apiAdminV2),Predefined Role
apigee.appkeys.create,Owner (roles/owner),Basics Role
apigee.appkeys.create,Editor (roles/editor),Basics Role
apigee.appkeys.create,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.appkeys.create,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.appkeys.create,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.appkeys.delete,Owner (roles/owner),Basics Role
apigee.appkeys.delete,Editor (roles/editor),Basics Role
apigee.appkeys.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.appkeys.delete,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.appkeys.delete,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.appkeys.get,Owner (roles/owner),Basics Role
apigee.appkeys.get,Editor (roles/editor),Basics Role
apigee.appkeys.get,Viewer (roles/viewer),Basics Role
apigee.appkeys.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.appkeys.get,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.appkeys.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.appkeys.manage,Owner (roles/owner),Basics Role
apigee.appkeys.manage,Editor (roles/editor),Basics Role
apigee.appkeys.manage,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.appkeys.manage,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.appkeys.manage,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.apps.get,Owner (roles/owner),Basics Role
apigee.apps.get,Editor (roles/editor),Basics Role
apigee.apps.get,Viewer (roles/viewer),Basics Role
apigee.apps.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apps.get,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.apps.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.apps.get,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.apps.list,Owner (roles/owner),Basics Role
apigee.apps.list,Editor (roles/editor),Basics Role
apigee.apps.list,Viewer (roles/viewer),Basics Role
apigee.apps.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.apps.list,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.apps.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.apps.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.apps.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.archivedeployments.create,Owner (roles/owner),Basics Role
apigee.archivedeployments.create,Editor (roles/editor),Basics Role
apigee.archivedeployments.create,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.archivedeployments.create,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.archivedeployments.delete,Owner (roles/owner),Basics Role
apigee.archivedeployments.delete,Editor (roles/editor),Basics Role
apigee.archivedeployments.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.archivedeployments.delete,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.archivedeployments.download,Owner (roles/owner),Basics Role
apigee.archivedeployments.download,Editor (roles/editor),Basics Role
apigee.archivedeployments.download,Viewer (roles/viewer),Basics Role
apigee.archivedeployments.download,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.archivedeployments.download,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.archivedeployments.download,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.archivedeployments.get,Owner (roles/owner),Basics Role
apigee.archivedeployments.get,Editor (roles/editor),Basics Role
apigee.archivedeployments.get,Viewer (roles/viewer),Basics Role
apigee.archivedeployments.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.archivedeployments.get,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.archivedeployments.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.archivedeployments.list,Owner (roles/owner),Basics Role
apigee.archivedeployments.list,Editor (roles/editor),Basics Role
apigee.archivedeployments.list,Viewer (roles/viewer),Basics Role
apigee.archivedeployments.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.archivedeployments.list,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.archivedeployments.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.archivedeployments.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.archivedeployments.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.archivedeployments.update,Owner (roles/owner),Basics Role
apigee.archivedeployments.update,Editor (roles/editor),Basics Role
apigee.archivedeployments.update,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.archivedeployments.update,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.archivedeployments.upload,Owner (roles/owner),Basics Role
apigee.archivedeployments.upload,Editor (roles/editor),Basics Role
apigee.archivedeployments.upload,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.archivedeployments.upload,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.caches.delete,Owner (roles/owner),Basics Role
apigee.caches.delete,Editor (roles/editor),Basics Role
apigee.caches.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.caches.list,Owner (roles/owner),Basics Role
apigee.caches.list,Editor (roles/editor),Basics Role
apigee.caches.list,Viewer (roles/viewer),Basics Role
apigee.caches.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.caches.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.caches.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.caches.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.canaryevaluations.create,Owner (roles/owner),Basics Role
apigee.canaryevaluations.create,Editor (roles/editor),Basics Role
apigee.canaryevaluations.create,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.canaryevaluations.create,Apigee Runtime Agent (roles/apigee.runtimeAgent),Predefined Role
apigee.canaryevaluations.create,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.canaryevaluations.get,Owner (roles/owner),Basics Role
apigee.canaryevaluations.get,Editor (roles/editor),Basics Role
apigee.canaryevaluations.get,Viewer (roles/viewer),Basics Role
apigee.canaryevaluations.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.canaryevaluations.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.canaryevaluations.get,Apigee Runtime Agent (roles/apigee.runtimeAgent),Predefined Role
apigee.canaryevaluations.get,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.datacollectors.create,Owner (roles/owner),Basics Role
apigee.datacollectors.create,Editor (roles/editor),Basics Role
apigee.datacollectors.create,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datacollectors.create,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.datacollectors.create,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.datacollectors.delete,Owner (roles/owner),Basics Role
